日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2017-05-17,09:35:00,股票,春秋航空(601021.XSHG),买,市价单,1400股,33.42,46788,1400股,-,0,14.04,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,建设银行(601939.XSHG),买,市价单,7700股,6.10,46970,7700股,-,0,14.09,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,福耀玻璃(600660.XSHG),买,市价单,1900股,23.59,44821,1900股,-,0,13.45,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,海康威视(002415.XSHE),买,市价单,1700股,27.00,45900,1700股,-,0,13.77,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,海螺水泥(600585.XSHG),买,市价单,2200股,20.93,46046,2200股,-,0,13.81,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,中国国旅(601888.XSHG),买,市价单,800股,54.65,43720,800股,-,0,13.12,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,中国动力(600482.XSHG),买,市价单,1600股,28.21,45136,1600股,-,0,13.54,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,东阿阿胶(000423.XSHE),买,市价单,700股,67.25,47075,700股,-,0,14.12,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,伊利股份(600887.XSHG),买,市价单,2500股,18.33,45825,2500股,-,0,13.75,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,长江电力(600900.XSHG),买,市价单,3200股,14.34,45888,3200股,-,0,13.77,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,华域汽车(600741.XSHG),买,市价单,2400股,19.49,46776,2400股,-,0,14.03,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,恒瑞医药(600276.XSHG),买,市价单,800股,58.17,46536,800股,-,0,13.96,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,青岛海尔(600690.XSHG),买,市价单,3500股,13.45,47075,3500股,-,0,14.12,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,美的集团(000333.XSHE),买,市价单,1300股,35.19,45747,1300股,-,0,13.72,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,天士力(600535.XSHG),买,市价单,1100股,40.92,45012,1100股,-,0,13.5,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,格力电器(000651.XSHE),买,市价单,1300股,33.82,43966,1300股,-,0,13.19,全部成交,2017-05-17 09:35:00
2017-05-17,09:35:00,股票,贵州茅台(600519.XSHG),买,市价单,100股,430.36,43036,100股,-,0,12.91,全部成交,2017-05-17 09:35:00
2017-06-01,09:35:00,股票,东阿阿胶(000423.XSHE),卖,市价单,-700股,67.17,-47019,-700股,-,-56,61.12,全部成交,2017-06-01 09:35:00
2017-06-01,09:35:00,股票,美的集团(000333.XSHE),卖,市价单,-1300股,36.02,-46826,-1300股,-,1079,60.87,全部成交,2017-06-01 09:35:00
